dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
France_2006,France,2006,0.83137,6.77,22.1,446.6,80.8,42.4,10.6,99.999327,8.5,5.359157477678396,18.37332690866995,371.2908505616183,80.8,42.400000000000006,10.851881781696155,103.30343932729829,Europe
France_2007,France,2007,0.82705,6.56,22.8,446.85,81.1,43.1,10.7,99.99943,8.1,5.425468409448855,18.856810935319924,369.5686827456179,81.10000000145752,43.10000000018362,10.89328235263872,103.49769599545793,Europe
France_2008,France,2008,0.83071,6.42,22.8,447.68,81.2,43,10.7,99.999344,7.9,5.3331661646022885,18.94021628554302,371.89280819585144,81.20000000146908,43.000000000185075,11.018088574000869,103.61571626760501,Europe
France_2009,France,2009,0.83641,6.12,22,449.318,81.4,41.5,10.8,99.999288,7.7,5.118846100791002,18.401080754515657,375.8153092091474,81.40000000144148,41.5000000001816,11.194539745929761,104.21716520858179,Europe
France_2010,France,2010,0.85588,6.2,20.9,448.53,81.6,42.1,10.9,99.999383,7.7,5.283408913429919,17.887800022022468,383.8858824821768,81.6,42.10000000000001,11.025482382184158,104.61064972220842,Europe
France_2011,France,2011,0.88467,5.78,20.5,448.46,81.8,42.9,10.9,99.999374,7.8,5.11341352529662,18.13580921605743,396.7407317643009,81.80000000148279,42.90000000018681,11.3049679634302,104.71446990585773,Europe
France_2012,France,2012,0.88395,5.76,20.6,448.77,82,42.8,11,99.999393,7.8,5.091553696995584,18.20937606915643,396.6903737229932,82.00000000150943,42.80000000019015,11.365810843879316,104.9806867402172,Europe
France_2013,France,2013,0.88457,5.75,20.7,448.88,82.3,42.8,11.2,99.999393,8,5.086269412840024,18.31056988626345,397.06515027455004,82.30000000148833,42.8000000001875,11.431038379964699,105.3687460596533,Europe
France_2014,France,2014,0.90482,5.23,20.9,449.797,82.6,43,11.4,99.99956,8,4.732227899730275,18.910815125150805,406.98698138694647,82.60000000149722,43.00000000018862,11.940665012550646,105.55104209356644,Europe
Georgia_2000,Georgia,2000,0.98444,1.03,3.07,445.7,70.7,4.92,11.7,99.99703,5.4,1.0139749919407306,3.0222361410281753,438.7656834059362,71.02613790140593,7.211892058553776,11.7,99.99702999999093,Asia
Georgia_2001,Georgia,2001,0.99323,0.87,3.39,446.59,70.8,5.24,11.8,99.99619,5.8,0.8641104378481288,3.3670510164427094,443.5667591248371,70.8000000000054,6.055026910180814,11.799999999999999,100.34725601950225,Asia
