dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_input.government_debt,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,target_output.income_share_20,continent
Sweden_2008,Sweden,2008,1,5.49,31,66.5,40.889964,81.5,48,12.2,99.999219,8.6,5.489999999999999,26.032230656578303,66.5,35.059601563332,81.50028825588132,51.76757665581463,12.302671885898276,99.99957268547698,8.600030417185021,Europe
Sweden_2009,Sweden,2009,1,5.06,23.9,60.55,44.40004,81.7,45.5,12.2,99.999093,8.6,5.0600000016919235,23.900000005915274,60.55000001565162,44.400040013341574,81.70000002100052,45.50000001249244,12.200000003074013,99.99909302576292,8.600000002424249,Europe
Sweden_2010,Sweden,2010,1,5.63,30,58.626,40.939989,81.9,47.8,12.3,99.999023,8.6,5.630000000000001,29.097064685102655,58.626,32.933142130103015,81.90039171200631,54.64149688541579,12.81377088483513,99.99950127618364,8.60004113215207,Europe
Sweden_2011,Sweden,2011,1,5.17,31.3,59.72,39.750053,82,48.9,12.4,99.999264,8.5,5.170000014640718,29.90854736918004,59.72000016433157,35.512299962298044,82.00013781947844,51.77015766981772,12.55583857239611,99.99943206919485,8.500014284591655,Europe
Sweden_2012,Sweden,2012,1,4.86,31.3,59.274,40.480043,82.1,48.3,12.4,99.999343,8.5,4.859999999999999,31.299999999999997,59.273999999999994,40.480042999999995,82.09999999999998,48.29999999999999,12.399999999999999,99.99934299999998,8.499999999999998,Europe
Sweden_2013,Sweden,2013,1,4.66,31.4,58.724,43.069989,82.3,48.5,12.2,99.99919,8.1,4.660000001411269,29.232237219470694,58.72400003253759,33.80158037966351,82.30015958166456,53.53713916747574,12.304195393573833,99.9993839007991,8.100015706239411,Europe
Sweden_2014,Sweden,2014,1,4.46,31.6,57.02,45.74,82.5,49.3,12.3,99.999177,8.4,4.46,31.6,57.02,45.74,82.5,49.3,12.3,99.999177,8.4,Europe
Sweden_2015,Sweden,2015,1,4.41,31.8,60.53,44.46,82.5,50.9,12.4,99.99892,8.2,4.410000000000001,31.800000000000008,60.530000000000015,44.46000000000001,82.50000000000001,50.90000000000001,12.400000000000004,99.99892000000003,8.200000000000001,Europe
Switzerland_1990,Switzerland,1990,1,6.64,20,60.58,10.9698,77.9,56.3,10.19,99.99853,7.48,6.640000000000002,20.000000000000007,60.58000000000003,10.969800000000005,77.90000000000003,56.300000000000026,10.190000000000005,99.998530000000045,7.480000000000004,Europe
Switzerland_1991,Switzerland,1991,1,6.87,20.6,59.55,11.774849,78.1,55.1,9.7,99.99868,7.49,6.869999999999884,20.599999999999653,59.549999999998995,11.7748489999998,78.09999999999867,55.09999999999907,9.699999999999836,99.9986799999983,7.489999999999874,Europe
